,date,men_gold,men_silver,men_bronze,total_gold,total_silver,total_bronze,women_gold,women_silver,women_bronze,total_medals,men_total,women_total,Fencing,Judo,Skateboarding,Swimming,country,Canoe Slalom,Cycling Road,Cycling Mountain Bike,Diving,Rugby Sevens,Archery,Shooting,Artistic Gymnastics,Equestrian,Table Tennis,Cycling BMX Freestyle,Triathlon,Rowing,Athletics,Badminton,Tennis,Trampoline Gymnastics,Cycling BMX Racing,Sailing,Boxing,Golf,3x3 Basketball,Surfing,Cycling Track,Wrestling,Artistic Swimming,Weightlifting,Sport Climbing,Taekwondo,Canoe Sprint,Marathon Swimming,Hockey,Football,Volleyball,Breaking,Rhythmic Gymnastics,Beach Volleyball
38,2024-07-29,1,0,0,1,0,0,2,0,0,3,3,6,,,,"(1, 0, 0)",Germany,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2024-07-29,1,0,1,0,0,1,1,0,2,3,6,9,,"(1, 0, 1)",,,Kazakhstan,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2024-07-29,0,0,2,1,0,2,1,0,0,9,6,3,,,,"(1, 0, 0)",South Africa,,,"(0, 0, 1)",,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2024-07-29,1,0,1,1,0,1,0,0,0,6,6,0,,,,,Belgium,,"(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2024-07-29,1,0,0,1,0,0,0,0,0,3,3,0,,"(1, 0, 0)",,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2024-07-29,1,0,0,1,0,0,0,0,0,3,3,0,,,,"(1, 0, 0)",Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2024-07-29,1,0,0,1,0,0,0,0,0,3,3,0,,"(1, 0, 0)",,,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2024-07-29,0,1,0,0,1,2,0,0,2,9,3,6,,"(0, 1, 1)","(0, 0, 1)",,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2024-07-29,0,1,0,0,1,2,0,0,2,9,3,6,,"(0, 0, 1)",,,Sweden,,,"(0, 0, 1)",,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2024-07-29,0,1,0,0,1,0,0,0,0,3,3,0,,,,,Fiji,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
